PyTree Path (Depth 3)                                             | Kept   | Pruned | Common Kept Types
----------------------------------------------------------------------------------------------------
energy_nodes['network.line'].areas.effective                      | 1      | 0      | float
energy_nodes['network.line'].areas.exit                           | 1      | 0      | float
energy_nodes['network.line'].areas.exposed                        | 1      | 0      | float
energy_nodes['network.line'].areas.front_projected                | 1      | 0      | float
energy_nodes['network.line'].areas.inflow                         | 1      | 0      | float
energy_nodes['network.line'].areas.inlet                          | 1      | 0      | float
energy_nodes['network.line'].areas.maximum                        | 1      | 0      | float
energy_nodes['network.line'].areas.outflow                        | 1      | 0      | float
energy_nodes['network.line'].areas.projected                      | 1      | 0      | float
energy_nodes['network.line'].areas.reference                      | 1      | 0      | float
energy_nodes['network.line'].areas.side_projected                 | 1      | 0      | float
energy_nodes['network.line'].areas.top_projected                  | 1      | 0      | float
energy_nodes['network.line'].areas.total                          | 1      | 0      | float
energy_nodes['network.line'].areas.wetted                         | 1      | 0      | float
energy_nodes['network.line'].diameters.effective                  | 1      | 0      | float
energy_nodes['network.line'].diameters.front_projected            | 1      | 0      | float
energy_nodes['network.line'].diameters.maximum                    | 1      | 0      | float
energy_nodes['network.line'].diameters.projected                  | 1      | 0      | float
energy_nodes['network.line'].diameters.reference                  | 1      | 0      | float
energy_nodes['network.line'].diameters.side_projected             | 1      | 0      | float
energy_nodes['network.line'].diameters.top_projected              | 1      | 0      | float
energy_nodes['network.line'].diameters.total                      | 1      | 0      | float
energy_nodes['network.line'].heights.effective                    | 1      | 0      | float
energy_nodes['network.line'].heights.front_projected              | 1      | 0      | float
energy_nodes['network.line'].heights.maximum                      | 1      | 0      | float
energy_nodes['network.line'].heights.projected                    | 1      | 0      | float
energy_nodes['network.line'].heights.reference                    | 1      | 0      | float
energy_nodes['network.line'].heights.side_projected               | 1      | 0      | float
energy_nodes['network.line'].heights.top_projected                | 1      | 0      | float
energy_nodes['network.line'].heights.total                        | 1      | 0      | float
energy_nodes['network.line'].lengths.effective                    | 1      | 0      | float
energy_nodes['network.line'].lengths.front_projected              | 1      | 0      | float
energy_nodes['network.line'].lengths.maximum                      | 1      | 0      | float
energy_nodes['network.line'].lengths.projected                    | 1      | 0      | float
energy_nodes['network.line'].lengths.reference                    | 1      | 0      | float
energy_nodes['network.line'].lengths.side_projected               | 1      | 0      | float
energy_nodes['network.line'].lengths.top_projected                | 1      | 0      | float
energy_nodes['network.line'].lengths.total                        | 1      | 0      | float
energy_nodes['network.line'].mass_properties.center_of_gravity    | 1      | 0      | ArrayImpl
energy_nodes['network.line'].mass_properties.density              | 1      | 0      | float
energy_nodes['network.line'].mass_properties.empty                | 1      | 0      | float
energy_nodes['network.line'].mass_properties.moments_of_inertia   | 1      | 0      | ArrayImpl
energy_nodes['network.line'].mass_properties.subcomponent_moments_of_inertia | 1      | 0      | ArrayImpl
energy_nodes['network.line'].mass_properties.subcomponent_total   | 1      | 0      | float
energy_nodes['network.line'].mass_properties.total                | 1      | 0      | float
energy_nodes['network.line'].mass_properties.volume               | 1      | 0      | float
energy_nodes['network.line'].origin                               | 1      | 0      | ArrayImpl
energy_nodes['network.line'].subcomponents[0]                     | 555    | 0      | ArrayImpl, bool, float
energy_nodes['network.line'].tank_draw_ratios[0]                  | 1      | 0      | float
energy_nodes['network.line'].widths.effective                     | 1      | 0      | float
energy_nodes['network.line'].widths.front_projected               | 1      | 0      | float
energy_nodes['network.line'].widths.maximum                       | 1      | 0      | float
energy_nodes['network.line'].widths.projected                     | 1      | 0      | float
energy_nodes['network.line'].widths.reference                     | 1      | 0      | float
energy_nodes['network.line'].widths.side_projected                | 1      | 0      | float
energy_nodes['network.line'].widths.top_projected                 | 1      | 0      | float
energy_nodes['network.line'].widths.total                         | 1      | 0      | float
energy_nodes['network.line.engine'].add_mixer                     | 1      | 0      | bool
energy_nodes['network.line.engine'].areas.effective               | 1      | 0      | float
energy_nodes['network.line.engine'].areas.exit                    | 1      | 0      | float
energy_nodes['network.line.engine'].areas.exposed                 | 1      | 0      | float
energy_nodes['network.line.engine'].areas.front_projected         | 1      | 0      | float
energy_nodes['network.line.engine'].areas.inflow                  | 1      | 0      | float
energy_nodes['network.line.engine'].areas.inlet                   | 1      | 0      | float
energy_nodes['network.line.engine'].areas.maximum                 | 1      | 0      | float
energy_nodes['network.line.engine'].areas.outflow                 | 1      | 0      | float
energy_nodes['network.line.engine'].areas.projected               | 1      | 0      | float
energy_nodes['network.line.engine'].areas.reference               | 1      | 0      | float
energy_nodes['network.line.engine'].areas.side_projected          | 1      | 0      | float
energy_nodes['network.line.engine'].areas.top_projected           | 1      | 0      | float
energy_nodes['network.line.engine'].areas.total                   | 1      | 0      | float
energy_nodes['network.line.engine'].areas.wetted                  | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.A_exit      | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.A_intake    | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.A_throat    | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.SLS_thrust  | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.TSFC        | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.afterburner_exit_temperature | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.altitude    | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.burner_pressure_ratio | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.delta_SFC   | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.eff         | 6      | 0      | float
energy_nodes['network.line.engine'].design_parameters.exit_mach_number | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.inlet_pressure_recovery | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.intake_temperature | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.mach_number | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.mass_flow_rate | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.noise_speed | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.output_temperature | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.overall_pressure_ratio | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.power       | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.pressure    | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.pressure_ratio | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.pressure_recovery | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.rotation_speed | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.stagnation_pressure | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.stagnation_temperature | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.temperature | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.thrust      | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.turbine_PR  | 1      | 0      | float
energy_nodes['network.line.engine'].design_parameters.turbine_intake_temperature | 1      | 0      | float
energy_nodes['network.line.engine'].diameters.effective           | 1      | 0      | float
energy_nodes['network.line.engine'].diameters.front_projected     | 1      | 0      | float
energy_nodes['network.line.engine'].diameters.maximum             | 1      | 0      | float
energy_nodes['network.line.engine'].diameters.projected           | 1      | 0      | float
energy_nodes['network.line.engine'].diameters.reference           | 1      | 0      | float
energy_nodes['network.line.engine'].diameters.side_projected      | 1      | 0      | float
energy_nodes['network.line.engine'].diameters.top_projected       | 1      | 0      | float
energy_nodes['network.line.engine'].diameters.total               | 1      | 0      | float
energy_nodes['network.line.engine'].heights.effective             | 1      | 0      | float
energy_nodes['network.line.engine'].heights.front_projected       | 1      | 0      | float
energy_nodes['network.line.engine'].heights.maximum               | 1      | 0      | float
energy_nodes['network.line.engine'].heights.projected             | 1      | 0      | float
energy_nodes['network.line.engine'].heights.reference             | 1      | 0      | float
energy_nodes['network.line.engine'].heights.side_projected        | 1      | 0      | float
energy_nodes['network.line.engine'].heights.top_projected         | 1      | 0      | float
energy_nodes['network.line.engine'].heights.total                 | 1      | 0      | float
energy_nodes['network.line.engine'].installation_geometry.Ce      | 1      | 0      | float
energy_nodes['network.line.engine'].installation_geometry.xe      | 1      | 0      | float
energy_nodes['network.line.engine'].installation_geometry.ye      | 1      | 0      | float
energy_nodes['network.line.engine'].lengths.effective             | 1      | 0      | float
energy_nodes['network.line.engine'].lengths.front_projected       | 1      | 0      | float
energy_nodes['network.line.engine'].lengths.maximum               | 1      | 0      | float
energy_nodes['network.line.engine'].lengths.projected             | 1      | 0      | float
energy_nodes['network.line.engine'].lengths.reference             | 1      | 0      | float
energy_nodes['network.line.engine'].lengths.side_projected        | 1      | 0      | float
energy_nodes['network.line.engine'].lengths.top_projected         | 1      | 0      | float
energy_nodes['network.line.engine'].lengths.total                 | 1      | 0      | float
energy_nodes['network.line.engine'].mass_properties.center_of_gravity | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine'].mass_properties.density       | 1      | 0      | float
energy_nodes['network.line.engine'].mass_properties.empty         | 1      | 0      | float
energy_nodes['network.line.engine'].mass_properties.moments_of_inertia | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine'].mass_properties.subcomponent_moments_of_inertia | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine'].mass_properties.subcomponent_total | 1      | 0      | float
energy_nodes['network.line.engine'].mass_properties.total         | 1      | 0      | float
energy_nodes['network.line.engine'].mass_properties.volume        | 1      | 0      | float
energy_nodes['network.line.engine'].origin                        | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine'].plug_diameter                 | 1      | 0      | float
energy_nodes['network.line.engine'].subcomponents[0]              | 74     | 0      | ArrayImpl, bool, float
energy_nodes['network.line.engine'].subcomponents[1]              | 91     | 0      | ArrayImpl, bool, float
energy_nodes['network.line.engine'].subcomponents[2]              | 74     | 0      | ArrayImpl, bool, float
energy_nodes['network.line.engine'].subcomponents[3]              | 88     | 0      | ArrayImpl, bool, float
energy_nodes['network.line.engine'].subcomponents[4]              | 57     | 0      | ArrayImpl, bool, float
energy_nodes['network.line.engine'].subcomponents[5]              | 75     | 0      | ArrayImpl, bool, float
energy_nodes['network.line.engine'].widths.effective              | 1      | 0      | float
energy_nodes['network.line.engine'].widths.front_projected        | 1      | 0      | float
energy_nodes['network.line.engine'].widths.maximum                | 1      | 0      | float
energy_nodes['network.line.engine'].widths.projected              | 1      | 0      | float
energy_nodes['network.line.engine'].widths.reference              | 1      | 0      | float
energy_nodes['network.line.engine'].widths.side_projected         | 1      | 0      | float
energy_nodes['network.line.engine'].widths.top_projected          | 1      | 0      | float
energy_nodes['network.line.engine'].widths.total                  | 1      | 0      | float
energy_nodes['network.line.engine'].working_fluid.composition     | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine'].working_fluid.molecular_mass  | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.burner'].add_mixer              | 1      | 0      | bool
energy_nodes['network.line.engine.burner'].areas.effective        | 1      | 0      | float
energy_nodes['network.line.engine.burner'].areas.exit             | 1      | 0      | float
energy_nodes['network.line.engine.burner'].areas.exposed          | 1      | 0      | float
energy_nodes['network.line.engine.burner'].areas.front_projected  | 1      | 0      | float
energy_nodes['network.line.engine.burner'].areas.inflow           | 1      | 0      | float
energy_nodes['network.line.engine.burner'].areas.inlet            | 1      | 0      | float
energy_nodes['network.line.engine.burner'].areas.maximum          | 1      | 0      | float
