PyTree Path (Depth 3)                                             | Kept   | Pruned | Common Kept Types
----------------------------------------------------------------------------------------------------
state.aerodynamics.angles.alpha                                   | 0      | 1      | 
state.aerodynamics.angles.beta                                    | 0      | 1      | 
state.aerodynamics.angles.phi                                     | 0      | 1      | 
state.aerodynamics.coefficients.X                                 | 0      | 1      | 
state.aerodynamics.coefficients.Y                                 | 0      | 1      | 
state.aerodynamics.coefficients.Z                                 | 0      | 1      | 
state.aerodynamics.coefficients.drag                              | 0      | 34     | 
state.aerodynamics.coefficients.lift                              | 0      | 9      | 
state.aerodynamics.coefficients.moments                           | 0      | 3      | 
state.energy.compressor_Rline                                     | 0      | 1      | 
state.energy.fuel_air_ratio                                       | 0      | 1      | 
state.energy.mass                                                 | 0      | 1      | 
state.energy.mass_flow_rate                                       | 1      | 0      | ArrayImpl
state.energy.nodes['network.line']                                | 2      | 43     | ArrayImpl
state.energy.nodes['network.line.engine']                         | 2      | 43     | ArrayImpl
state.energy.nodes['network.line.engine.burner']                  | 2      | 43     | ArrayImpl
state.energy.nodes['network.line.engine.compressor']              | 2      | 43     | ArrayImpl
state.energy.nodes['network.line.engine.core_nozzle']             | 2      | 43     | ArrayImpl
state.energy.nodes['network.line.engine.inlet']                   | 2      | 43     | ArrayImpl
state.energy.nodes['network.line.engine.turbine']                 | 2      | 43     | ArrayImpl
state.energy.nodes['network.line.engine.turboshaft']              | 2      | 43     | ArrayImpl
state.energy.outputs.electrical                                   | 0      | 3      | 
state.energy.outputs.flow                                         | 2      | 19     | ArrayImpl
state.energy.outputs.force                                        | 0      | 3      | 
state.energy.outputs.fuel                                         | 0      | 2      | 
state.energy.outputs.mechanical                                   | 0      | 2      | 
state.energy.outputs.residual                                     | 0      | 13     | 
state.energy.rotation_speed                                       | 0      | 1      | 
state.energy.target_temperature                                   | 1      | 0      | ArrayImpl
state.energy.target_thrust                                        | 1      | 0      | ArrayImpl
state.energy.throttle                                             | 0      | 1      | 
state.energy.total_efficiency                                     | 0      | 1      | 
state.energy.total_energy                                         | 0      | 1      | 
state.energy.total_force_vector                                   | 0      | 1      | 
state.energy.total_moment_vector                                  | 0      | 1      | 
state.energy.total_power                                          | 0      | 1      | 
state.energy.turbine_PR                                           | 1      | 0      | ArrayImpl
