PyTree Path (Depth 3)                                             | Kept   | Pruned | Common Kept Types
----------------------------------------------------------------------------------------------------
system.areas.effective                                            | 1      | 0      | float
system.areas.exit                                                 | 1      | 0      | float
system.areas.exposed                                              | 1      | 0      | float
system.areas.front_projected                                      | 1      | 0      | float
system.areas.inflow                                               | 1      | 0      | float
system.areas.inlet                                                | 1      | 0      | float
system.areas.maximum                                              | 1      | 0      | float
system.areas.outflow                                              | 1      | 0      | float
system.areas.projected                                            | 1      | 0      | float
system.areas.reference                                            | 1      | 0      | float
system.areas.side_projected                                       | 1      | 0      | float
system.areas.top_projected                                        | 1      | 0      | float
system.areas.total                                                | 1      | 0      | float
system.areas.wetted                                               | 1      | 0      | float
system.configurations.areas.effective                             | 1      | 0      | float
system.configurations.areas.exit                                  | 1      | 0      | float
system.configurations.areas.exposed                               | 1      | 0      | float
system.configurations.areas.front_projected                       | 1      | 0      | float
system.configurations.areas.inflow                                | 1      | 0      | float
system.configurations.areas.inlet                                 | 1      | 0      | float
system.configurations.areas.maximum                               | 1      | 0      | float
system.configurations.areas.outflow                               | 1      | 0      | float
system.configurations.areas.projected                             | 1      | 0      | float
system.configurations.areas.reference                             | 1      | 0      | float
system.configurations.areas.side_projected                        | 1      | 0      | float
system.configurations.areas.top_projected                         | 1      | 0      | float
system.configurations.areas.total                                 | 1      | 0      | float
system.configurations.areas.wetted                                | 1      | 0      | float
system.configurations.diameters.effective                         | 1      | 0      | float
system.configurations.diameters.front_projected                   | 1      | 0      | float
system.configurations.diameters.maximum                           | 1      | 0      | float
system.configurations.diameters.projected                         | 1      | 0      | float
system.configurations.diameters.reference                         | 1      | 0      | float
system.configurations.diameters.side_projected                    | 1      | 0      | float
system.configurations.diameters.top_projected                     | 1      | 0      | float
system.configurations.diameters.total                             | 1      | 0      | float
system.configurations.heights.effective                           | 1      | 0      | float
system.configurations.heights.front_projected                     | 1      | 0      | float
system.configurations.heights.maximum                             | 1      | 0      | float
system.configurations.heights.projected                           | 1      | 0      | float
system.configurations.heights.reference                           | 1      | 0      | float
system.configurations.heights.side_projected                      | 1      | 0      | float
system.configurations.heights.top_projected                       | 1      | 0      | float
system.configurations.heights.total                               | 1      | 0      | float
